Example of output

inc:1000, max:10000, stp:1000, rpt:100

n        Bubble         Insertion        Shell          Merge           Quick           Radix
---------------------------------------------------------------------------------------------------
1000    0.001420        0.000000        0.000040        0.000080        0.001450        0.000160
2000    0.005530        0.000040        0.000080        0.000160        0.005820        0.000340
3000    0.012450        0.000000        0.000120        0.000280        0.012990        0.000600
4000    0.022010        0.000000        0.000200        0.000340        0.023070        0.000790
5000    0.034530        0.000020        0.000340        0.000480        0.036360        0.001000
6000    0.049860        0.000040        0.000270        0.000640        0.052220        0.001160
7000    0.067390        0.000040        0.000320        0.000720        0.070970        0.001360
8000    0.088490        0.000040        0.000360        0.000800        0.092540        0.001570
9000    0.112270        0.000040        0.000480        0.000880        0.117020        0.001660
10000   0.138280        0.000080        0.000500        0.001020        0.142820        0.001950
